molecule,api_manufacturer_count,api_concentration_risk,api_india_china_pct,api_single_source,api_india_count,api_china_count,api_uk_eu_count,us_shortage_active,us_shortage_total
cinnarizine,0,UNKNOWN,-1,0,0,0,0,0,0
amlodipine,3,HIGH,100,0,3,0,0,0,19
prasugrel,0,UNKNOWN,-1,0,0,0,0,0,0
lymecycline,0,UNKNOWN,-1,0,0,0,0,0,0
diltiazem,0,UNKNOWN,-1,0,0,0,0,0,1
solifenacin,0,UNKNOWN,-1,0,0,0,0,0,0
loratadine,0,UNKNOWN,-1,0,0,0,0,0,0
finasteride,0,UNKNOWN,-1,0,0,0,0,0,3
omeprazole,3,HIGH,67,0,2,0,1,0,10
atorvastatin,3,HIGH,100,0,3,0,0,0,0
vitamin,0,UNKNOWN,-1,0,0,0,0,0,0
candesartan,0,UNKNOWN,-1,0,0,0,0,0,0
ranolazine,0,UNKNOWN,-1,0,0,0,0,0,0
apixaban,0,UNKNOWN,-1,0,0,0,0,0,0
colchicine,0,UNKNOWN,-1,0,0,0,0,0,0
sildenafil,0,UNKNOWN,-1,0,0,0,0,0,0
allopurinol,0,UNKNOWN,-1,0,0,0,0,0,4
azathioprine,0,UNKNOWN,-1,0,0,0,0,0,0
orlistat,0,UNKNOWN,-1,0,0,0,0,0,0
sertraline,3,HIGH,100,0,3,0,0,0,0
trazodone,0,UNKNOWN,-1,0,0,0,0,0,0
clopidogrel,0,UNKNOWN,-1,0,0,0,0,0,0
phenobarbital,0,UNKNOWN,-1,0,0,0,0,0,8
diazepam,0,UNKNOWN,-1,0,0,0,0,0,0
methadone,0,UNKNOWN,-1,0,0,0,0,0,0
